Customer_ID,Account_Age_Days,Login_Frequency,Daily_Usage_Mins,Churn,Churn_Prediction,Rish_Level
CUST182,848,4,73,0,0,Safe
CUST183,698,3,14,0,0,Safe
CUST184,442,4,83,0,0,Safe
CUST185,96,4,60,0,0,Safe
CUST186,488,4,36,0,0,Safe
CUST187,867,4,53,0,0,Safe
CUST188,952,3,58,0,0,Safe
CUST189,521,3,59,0,0,Safe
CUST190,1084,3,10,1,1,High Risk
CUST191,98,4,70,0,0,Safe
CUST192,226,3,26,0,0,Safe
CUST193,356,3,33,0,0,Safe
CUST194,982,4,49,1,1,High Risk
CUST195,763,4,101,0,0,Safe
CUST196,202,3,14,0,0,Safe
CUST197,62,1,14,1,1,High Risk
CUST198,605,4,68,0,0,Safe
CUST199,1011,4,25,0,0,Safe
CUST200,149,3,12,1,1,High Risk
CUST201,390,3,1,1,1,High Risk
CUST202,201,3,7,1,1,High Risk
CUST203,1069,4,97,0,0,Safe
CUST204,635,4,117,0,0,Safe
CUST205,1010,4,74,0,0,Safe
CUST206,95,3,31,0,0,Safe
CUST207,869,1,8,1,1,High Risk
CUST208,442,4,83,0,0,Safe
CUST209,1030,3,8,0,0,Safe
CUST210,405,3,5,1,1,High Risk
CUST211,1057,1,2,1,1,High Risk
CUST212,78,4,53,1,1,High Risk
CUST213,349,3,46,1,0,Safe
CUST214,1005,4,100,0,0,Safe
CUST215,1087,4,52,0,0,Safe
CUST216,765,3,3,0,0,Safe
CUST217,456,3,21,0,0,Safe
CUST218,961,3,4,0,0,Safe
CUST219,214,3,10,1,1,High Risk
CUST220,474,4,20,1,1,High Risk
CUST221,901,1,5,1,1,High Risk
CUST222,49,3,12,1,1,High Risk
CUST223,356,3,43,0,0,Safe
CUST224,147,4,47,0,0,Safe
CUST225,468,4,57,0,0,Safe
CUST226,1055,4,64,0,0,Safe
CUST227,924,4,71,0,0,Safe
CUST228,51,4,49,0,0,Safe
CUST229,448,3,45,0,0,Safe
CUST230,775,4,79,0,0,Safe
CUST231,40,3,28,0,0,Safe
CUST232,181,1,14,1,1,High Risk
CUST233,452,3,4,0,0,Safe
CUST234,19,4,57,0,0,Safe
CUST235,101,4,53,1,1,High Risk
CUST236,311,3,8,1,1,High Risk
CUST237,174,3,1,1,1,High Risk
CUST238,779,1,1,1,1,High Risk
CUST239,883,4,43,0,0,Safe
CUST240,931,3,58,0,0,Safe
CUST241,267,3,48,0,0,Safe
CUST242,1026,4,43,0,0,Safe
CUST243,849,1,1,1,1,High Risk
CUST244,594,3,52,0,0,Safe
CUST245,128,4,32,0,0,Safe
CUST246,611,3,14,1,1,High Risk
CUST247,360,3,43,0,0,Safe
CUST248,601,4,107,0,0,Safe
CUST249,715,3,20,0,0,Safe
CUST250,621,3,19,0,0,Safe
CUST251,875,1,5,1,1,High Risk
CUST252,691,4,96,0,0,Safe
CUST253,607,4,104,0,0,Safe
CUST254,166,4,49,0,0,Safe
CUST255,50,4,20,1,0,Safe
CUST256,748,3,10,1,1,High Risk
CUST257,256,3,55,0,0,Safe
CUST258,36,4,105,0,0,Safe
CUST259,1089,3,44,0,0,Safe
CUST260,450,4,118,0,0,Safe
CUST261,636,4,22,0,0,Safe
CUST262,319,3,30,1,0,Safe
CUST263,912,3,39,0,0,Safe
CUST264,967,1,1,1,1,High Risk
CUST265,360,4,15,0,0,Safe
CUST266,1050,4,22,0,0,Safe
CUST267,785,3,4,1,1,High Risk
CUST268,499,1,3,1,1,High Risk
CUST269,974,1,7,1,1,High Risk
CUST270,954,3,12,1,1,High Risk
CUST271,864,4,49,0,0,Safe
CUST272,118,4,65,0,0,Safe
CUST273,664,4,65,0,0,Safe
CUST274,403,3,48,0,0,Safe
CUST275,1032,3,2,1,1,High Risk
CUST276,529,3,28,0,1,High Risk
CUST277,593,4,51,0,0,Safe
CUST278,734,4,106,0,0,Safe
CUST279,282,4,56,1,1,High Risk
CUST280,528,3,5,0,0,Safe
CUST281,1073,4,27,0,0,Safe
CUST282,444,4,47,0,0,Safe
CUST283,586,4,15,1,1,High Risk
CUST284,113,1,12,1,1,High Risk
CUST285,844,4,32,0,0,Safe
CUST286,925,1,8,1,1,High Risk
CUST287,362,4,54,0,0,Safe
CUST288,984,4,26,0,0,Safe
CUST289,961,1,6,1,1,High Risk
CUST290,363,4,58,0,0,Safe
CUST291,106,3,18,0,0,Safe
CUST292,925,3,13,1,1,High Risk
CUST293,867,3,9,0,0,Safe
CUST294,477,4,21,0,0,Safe
CUST295,818,4,51,0,0,Safe
CUST296,1040,3,11,1,1,High Risk
CUST297,407,3,14,1,1,High Risk
CUST298,594,4,57,0,0,Safe
CUST299,1044,4,33,1,0,Safe
CUST300,427,4,63,0,0,Safe
CUST301,437,3,11,1,1,High Risk
CUST302,446,3,44,0,0,Safe
CUST303,824,4,63,0,0,Safe
CUST304,129,4,35,0,0,Safe
CUST305,960,4,24,0,0,Safe
CUST306,303,4,109,0,0,Safe
CUST307,287,3,30,0,0,Safe
CUST308,964,1,12,1,1,High Risk
CUST309,19,4,46,0,0,Safe
CUST310,557,4,21,0,0,Safe
CUST311,992,1,2,1,1,High Risk
CUST312,286,4,62,0,0,Safe
CUST313,399,1,2,1,1,High Risk
CUST314,881,4,33,0,0,Safe
CUST315,567,4,32,0,0,Safe
CUST316,561,3,17,0,0,Safe
CUST317,1062,3,8,1,1,High Risk
CUST318,822,4,27,0,0,Safe
CUST319,828,3,58,1,1,High Risk
CUST320,893,3,48,0,0,Safe
CUST321,377,4,53,0,0,Safe
CUST322,844,4,116,0,0,Safe
CUST323,91,3,23,0,0,Safe
CUST324,25,3,36,0,0,Safe
CUST325,791,3,43,0,0,Safe
CUST326,190,1,4,1,1,High Risk
CUST327,300,4,26,0,0,Safe
CUST328,781,1,3,1,1,High Risk
CUST329,130,1,2,1,1,High Risk
CUST330,1071,1,12,1,1,High Risk
CUST331,758,3,8,1,1,High Risk
CUST332,826,3,7,1,1,High Risk
CUST333,672,4,16,0,0,Safe
CUST334,617,1,2,1,1,High Risk
CUST335,693,1,4,1,1,High Risk
CUST336,144,4,95,0,0,Safe
CUST337,547,4,52,0,0,Safe
CUST338,444,3,2,1,1,High Risk
CUST339,1017,4,85,0,0,Safe
CUST340,183,1,14,1,1,High Risk
CUST341,707,3,52,0,0,Safe
CUST342,798,3,53,0,0,Safe
CUST343,420,4,44,0,1,High Risk
CUST344,455,3,42,0,0,Safe
CUST345,308,3,15,0,0,Safe
CUST346,8,3,57,0,0,Safe
CUST347,1094,3,26,0,0,Safe
CUST348,782,3,16,0,0,Safe
CUST349,136,4,90,0,0,Safe
CUST350,308,3,19,0,0,Safe
CUST351,840,4,49,0,0,Safe
CUST352,134,3,58,0,0,Safe
CUST353,578,4,42,0,0,Safe
CUST354,793,1,4,1,1,High Risk
CUST355,821,4,47,0,0,Safe
CUST356,13,1,3,1,1,High Risk
CUST357,1040,4,65,0,0,Safe
CUST358,330,3,18,0,0,Safe
CUST359,596,3,57,0,0,Safe
CUST360,889,3,19,0,0,Safe
CUST361,13,4,40,0,0,Safe
CUST362,480,4,71,0,0,Safe
CUST363,934,4,59,1,1,High Risk
CUST364,703,1,14,1,1,High Risk
CUST365,302,3,10,1,1,High Risk
CUST366,325,3,29,0,0,Safe
CUST367,1052,4,95,0,0,Safe
CUST368,363,3,3,1,1,High Risk
CUST369,375,3,51,0,0,Safe
CUST370,498,3,57,1,1,High Risk
CUST371,41,1,9,1,1,High Risk
CUST372,352,1,14,0,0,Safe
CUST373,511,3,59,0,0,Safe
CUST374,950,4,87,0,0,Safe
CUST375,70,3,10,1,1,High Risk
CUST376,649,3,59,0,0,Safe
CUST377,912,3,40,0,0,Safe
CUST378,560,3,12,1,1,High Risk
CUST379,290,3,41,0,0,Safe
CUST380,219,4,25,0,0,Safe
CUST381,85,4,97,0,0,Safe
CUST382,414,3,12,1,1,High Risk
CUST383,795,4,33,1,0,Safe
CUST384,401,4,29,1,0,Safe
CUST385,318,4,51,0,0,Safe
CUST386,346,4,104,0,0,Safe
CUST387,766,3,52,0,0,Safe
CUST388,601,3,4,1,1,High Risk
CUST389,1089,4,26,0,0,Safe
CUST390,990,4,25,1,1,High Risk
CUST391,607,3,52,0,0,Safe
CUST392,13,4,48,0,0,Safe
CUST393,598,1,11,1,1,High Risk
CUST394,1019,1,5,1,0,Safe
CUST395,307,3,14,1,1,High Risk
CUST396,893,4,117,1,1,High Risk
CUST397,650,3,6,1,1,High Risk
CUST398,670,3,8,1,1,High Risk
CUST399,447,4,37,0,0,Safe
CUST400,866,4,20,0,0,Safe
CUST401,516,4,57,0,0,Safe
CUST402,355,4,49,0,0,Safe
CUST403,520,3,28,0,0,Safe
CUST404,704,4,26,1,1,High Risk
CUST405,296,1,7,1,1,High Risk
CUST406,379,3,47,0,0,Safe
CUST407,814,3,8,0,0,Safe
CUST408,1014,4,80,0,0,Safe
CUST409,817,4,51,1,1,High Risk
CUST410,431,3,10,1,1,High Risk
CUST411,496,1,11,1,1,High Risk
CUST412,160,4,24,0,0,Safe
CUST413,868,4,69,0,0,Safe
CUST414,600,1,6,1,1,High Risk
CUST415,1037,3,14,1,1,High Risk
CUST416,1050,1,13,1,1,High Risk
CUST417,72,3,30,0,0,Safe
CUST418,430,3,2,1,1,High Risk
CUST419,546,4,105,0,0,Safe
CUST420,822,1,3,1,1,High Risk
CUST421,749,4,22,1,1,High Risk
CUST422,911,4,108,1,1,High Risk
CUST423,658,3,28,0,0,Safe
CUST424,1004,3,48,0,0,Safe
CUST425,1002,1,6,1,1,High Risk
CUST426,777,3,7,1,1,High Risk
CUST427,855,4,52,0,0,Safe
CUST428,87,4,61,0,0,Safe
CUST429,564,4,104,0,0,Safe
CUST430,152,4,71,0,0,Safe
CUST431,789,1,10,1,1,High Risk
CUST432,59,3,50,0,0,Safe
CUST433,695,4,38,0,0,Safe
CUST434,9,4,54,0,0,Safe
CUST435,557,4,47,0,0,Safe
CUST436,387,4,17,0,0,Safe
CUST437,878,3,52,1,1,High Risk
CUST438,527,4,38,0,0,Safe
CUST439,892,3,31,0,0,Safe
CUST440,407,3,42,1,1,High Risk
CUST441,252,1,3,1,1,High Risk
CUST442,566,4,36,0,0,Safe
CUST443,197,3,5,0,0,Safe
CUST444,511,4,33,0,0,Safe
CUST445,800,3,2,1,1,High Risk
CUST446,598,1,14,1,1,High Risk
CUST447,817,4,106,0,0,Safe
CUST448,591,3,29,0,0,Safe
CUST449,669,3,48,0,0,Safe
CUST450,37,3,55,0,0,Safe
CUST451,827,4,56,0,0,Safe
CUST452,594,3,51,0,0,Safe
CUST453,113,4,59,0,0,Safe
CUST454,813,4,63,0,0,Safe
CUST455,170,4,32,0,0,Safe
CUST456,816,3,38,1,1,High Risk
CUST457,928,4,74,0,0,Safe
CUST458,551,4,50,0,0,Safe
CUST459,986,4,93,0,0,Safe
CUST460,477,3,5,1,1,High Risk
CUST461,489,4,15,0,0,Safe
CUST462,1070,3,12,0,0,Safe
CUST463,278,4,59,0,1,High Risk
CUST464,853,1,13,1,1,High Risk
CUST465,480,4,35,1,0,Safe
CUST466,76,3,10,1,1,High Risk
CUST467,639,4,76,0,0,Safe
CUST468,338,4,109,1,1,High Risk
CUST469,735,4,19,1,1,High Risk
CUST470,997,4,57,0,0,Safe
CUST471,67,3,54,0,0,Safe
CUST472,302,4,65,0,0,Safe
CUST473,721,3,12,0,0,Safe
CUST474,307,4,20,1,1,High Risk
CUST475,132,4,49,0,0,Safe
CUST476,891,3,59,0,0,Safe
CUST477,990,4,33,0,0,Safe
CUST478,914,3,53,0,0,Safe
CUST479,70,4,91,1,0,Safe
CUST480,400,3,5,1,1,High Risk
CUST481,767,4,46,0,0,Safe
CUST482,512,4,21,1,1,High Risk
CUST483,161,3,20,0,0,Safe
CUST484,877,1,2,1,1,High Risk
CUST485,42,4,56,0,0,Safe
CUST486,954,4,57,0,0,Safe
CUST487,111,1,3,0,0,Safe
CUST488,1024,3,25,1,1,High Risk
CUST489,575,4,92,0,0,Safe
CUST490,763,4,110,0,0,Safe
CUST491,681,3,41,0,0,Safe
CUST492,228,4,91,0,0,Safe
CUST493,275,3,17,0,0,Safe
CUST494,958,3,14,0,0,Safe
CUST495,393,4,59,0,0,Safe
CUST496,349,4,95,0,0,Safe
CUST497,295,1,9,0,0,Safe
CUST498,87,3,57,1,1,High Risk
CUST499,975,4,56,0,0,Safe
CUST500,279,1,3,1,1,High Risk
CUST501,159,1,6,1,1,High Risk
CUST502,468,3,22,0,0,Safe
CUST503,161,3,51,0,0,Safe
CUST504,859,4,24,0,0,Safe
CUST505,834,4,34,0,0,Safe
CUST506,395,4,40,0,0,Safe
CUST507,1030,4,45,0,0,Safe
CUST508,189,4,80,0,0,Safe
CUST509,258,3,53,0,0,Safe
CUST510,606,1,10,1,1,High Risk
CUST511,250,1,9,0,0,Safe
CUST512,639,3,28,0,0,Safe
CUST513,308,3,2,1,1,High Risk
CUST514,37,3,7,1,1,High Risk
CUST515,906,3,9,1,1,High Risk
CUST516,236,3,40,0,0,Safe
CUST517,220,3,40,0,0,Safe
CUST518,482,3,54,0,0,Safe
CUST519,78,4,20,0,0,Safe
CUST520,701,4,98,0,0,Safe
CUST521,590,4,23,0,0,Safe
CUST522,338,3,50,0,0,Safe
CUST523,547,4,53,0,0,Safe
CUST524,320,1,11,1,1,High Risk
CUST525,376,1,8,0,0,Safe
CUST526,809,3,52,0,0,Safe
CUST527,955,4,52,0,0,Safe
CUST528,1065,3,33,0,0,Safe
CUST529,1055,3,17,0,0,Safe
CUST530,584,3,33,0,0,Safe
CUST531,864,4,31,0,0,Safe
CUST532,620,4,51,0,0,Safe
CUST533,364,3,8,1,1,High Risk
CUST534,17,3,32,0,0,Safe
CUST535,653,3,54,0,0,Safe
CUST536,784,3,44,0,0,Safe
CUST537,868,4,98,0,0,Safe
CUST538,33,1,7,1,1,High Risk
CUST539,165,1,10,1,1,High Risk
CUST540,856,3,16,0,0,Safe
CUST541,855,3,25,1,1,High Risk
CUST542,522,4,78,0,0,Safe
CUST543,291,4,87,0,0,Safe
CUST544,916,4,35,0,0,Safe
CUST545,881,3,24,0,0,Safe
CUST546,929,3,43,0,0,Safe
CUST547,617,4,15,0,0,Safe
CUST548,177,4,45,0,0,Safe
CUST549,992,4,27,0,0,Safe
CUST550,1049,4,79,0,0,Safe
CUST551,619,3,22,0,0,Safe
CUST552,837,4,58,0,0,Safe
CUST553,893,3,21,0,0,Safe
CUST554,1,3,14,0,0,Safe
CUST555,1005,4,50,0,0,Safe
CUST556,950,4,15,0,0,Safe
CUST557,936,3,12,1,1,High Risk
CUST558,1009,3,6,1,1,High Risk
CUST559,76,3,10,1,1,High Risk
CUST560,845,3,47,0,0,Safe
CUST561,730,3,3,1,1,High Risk
CUST562,1030,3,39,0,0,Safe
CUST563,156,3,47,0,0,Safe
CUST564,806,4,109,0,0,Safe
CUST565,1060,3,29,0,0,Safe
CUST566,468,3,30,0,0,Safe
CUST567,42,4,61,1,1,High Risk
CUST568,134,3,3,1,1,High Risk
CUST569,763,3,28,0,0,Safe
CUST570,137,3,24,0,0,Safe
CUST571,151,4,65,0,0,Safe
CUST572,494,3,10,1,1,High Risk
CUST573,914,4,25,0,0,Safe
CUST574,348,4,49,0,0,Safe
CUST575,776,1,11,1,1,High Risk
CUST576,734,4,57,0,0,Safe
CUST577,318,3,54,0,0,Safe
CUST578,806,3,10,0,0,Safe
CUST579,622,3,35,0,0,Safe
CUST580,194,3,36,0,0,Safe
CUST581,136,4,19,1,1,High Risk
CUST582,237,4,98,0,0,Safe
CUST583,90,4,25,1,0,Safe
CUST584,725,3,43,0,0,Safe
CUST585,307,3,9,1,1,High Risk
CUST586,399,1,13,0,1,High Risk
CUST587,419,1,10,1,1,High Risk
CUST588,654,1,12,1,1,High Risk
CUST589,940,3,52,0,0,Safe
CUST590,621,1,3,0,0,Safe
CUST591,871,4,28,0,0,Safe
CUST592,94,3,26,0,0,Safe
CUST593,808,4,25,0,0,Safe
CUST594,187,3,9,1,1,High Risk
CUST595,96,4,26,0,0,Safe
CUST596,902,1,13,1,1,High Risk
CUST597,687,4,58,0,0,Safe
CUST598,382,1,1,1,1,High Risk
CUST599,598,4,90,0,0,Safe
CUST600,332,4,77,0,0,Safe
CUST601,1087,3,21,0,0,Safe
CUST602,561,3,13,1,1,High Risk
CUST603,96,3,2,1,0,Safe
CUST604,780,4,51,1,1,High Risk
CUST605,797,4,33,0,0,Safe
CUST606,257,3,4,1,1,High Risk
CUST607,418,4,114,0,0,Safe
CUST608,288,4,56,0,0,Safe
CUST609,810,4,19,0,0,Safe
CUST610,639,3,8,1,1,High Risk
CUST611,575,3,8,1,1,High Risk
CUST612,827,4,83,0,0,Safe
CUST613,277,3,17,0,0,Safe
CUST614,561,3,36,0,0,Safe
CUST615,508,4,48,1,1,High Risk
CUST616,963,1,10,1,1,High Risk
CUST617,1063,1,14,1,1,High Risk
CUST618,211,4,99,0,0,Safe
CUST619,654,3,3,1,1,High Risk
CUST620,365,3,49,1,1,High Risk
CUST621,997,4,36,0,0,Safe
CUST622,839,1,2,0,0,Safe
CUST623,1091,4,41,0,0,Safe
CUST624,243,4,40,0,0,Safe
CUST625,195,3,59,0,0,Safe
CUST626,384,3,12,1,1,High Risk
CUST627,582,4,64,0,0,Safe
CUST628,437,4,52,0,0,Safe
CUST629,698,3,26,0,0,Safe
CUST630,275,3,56,0,0,Safe
CUST631,815,4,100,0,0,Safe
CUST632,876,4,40,1,1,High Risk
CUST633,302,4,25,0,0,Safe
CUST634,1083,4,85,0,0,Safe
CUST635,242,3,56,0,0,Safe
CUST636,320,1,14,1,1,High Risk
CUST637,132,4,113,0,0,Safe
CUST638,877,1,9,1,1,High Risk
CUST639,714,4,37,0,0,Safe
CUST640,101,1,1,1,1,High Risk
CUST641,1047,1,4,1,1,High Risk
CUST642,1051,1,4,1,1,High Risk
CUST643,75,4,49,1,1,High Risk
CUST644,84,3,7,1,1,High Risk
CUST645,660,4,38,0,0,Safe
CUST646,312,4,22,0,0,Safe
CUST647,875,3,29,0,0,Safe
CUST648,368,3,32,0,0,Safe
CUST649,103,3,48,0,0,Safe
CUST650,553,4,31,0,0,Safe
CUST651,876,4,59,0,0,Safe
CUST652,816,4,75,1,0,Safe
CUST653,527,3,5,1,1,High Risk
CUST654,703,4,56,0,0,Safe
CUST655,701,3,58,1,0,Safe
CUST656,516,1,6,1,1,High Risk
CUST657,508,1,3,1,1,High Risk
CUST658,150,3,28,0,0,Safe
CUST659,350,1,13,1,1,High Risk
CUST660,749,1,7,1,1,High Risk
CUST661,398,3,33,0,0,Safe
CUST662,1020,1,13,1,1,High Risk
CUST663,673,3,13,0,0,Safe
CUST664,534,3,10,1,1,High Risk
CUST665,1006,1,14,1,1,High Risk
CUST666,563,1,3,1,1,High Risk
CUST667,634,4,83,0,0,Safe
CUST668,393,1,9,0,0,Safe
CUST669,993,1,10,1,1,High Risk
CUST670,399,1,10,1,1,High Risk
CUST671,956,4,100,0,0,Safe
CUST672,1053,3,45,0,0,Safe
CUST673,606,1,4,1,1,High Risk
CUST674,699,1,3,1,1,High Risk
CUST675,444,3,59,1,0,Safe
CUST676,952,1,3,1,1,High Risk
CUST677,1089,4,57,0,0,Safe
CUST678,769,4,107,0,0,Safe
CUST679,874,3,25,0,0,Safe
CUST680,158,4,62,0,0,Safe
CUST681,893,3,5,1,1,High Risk
CUST682,450,4,87,1,1,High Risk
CUST683,480,4,26,0,0,Safe
CUST684,685,4,42,0,0,Safe
CUST685,289,1,8,1,1,High Risk
CUST686,546,3,36,0,0,Safe
CUST687,390,4,48,0,0,Safe
CUST688,914,4,40,0,0,Safe
CUST689,674,4,66,0,0,Safe
CUST690,419,3,36,1,1,High Risk
CUST691,392,3,51,0,0,Safe
CUST692,141,4,20,1,1,High Risk
CUST693,840,4,47,0,0,Safe
CUST694,146,4,47,0,0,Safe
CUST695,177,4,35,0,0,Safe
CUST696,380,3,17,1,1,High Risk
CUST697,1075,3,54,0,0,Safe
CUST698,269,4,20,0,0,Safe
CUST699,872,1,6,1,1,High Risk
CUST700,276,3,14,0,0,Safe
CUST701,478,4,27,0,0,Safe
CUST702,377,4,41,0,1,High Risk
CUST703,962,4,101,0,0,Safe
CUST704,562,1,6,1,1,High Risk
CUST705,309,3,10,1,1,High Risk
CUST706,405,4,56,0,0,Safe
CUST707,696,3,22,0,0,Safe
CUST708,1038,4,71,0,0,Safe
CUST709,733,3,50,0,0,Safe
CUST710,277,4,24,0,0,Safe
CUST711,42,3,39,0,0,Safe
CUST712,288,4,38,0,0,Safe
CUST713,335,4,58,0,0,Safe
CUST714,836,1,6,1,1,High Risk
